Analysis,Perforated $ Least Sensitive Kernels,Execution Time,PSNR
Accurate,0,0.286997,100
Accurate,0,0.288004,100
Accurate,0,0.286754,100
Accurate,0,0.2884,100
Accurate,0,0.289494,100
WOQ,1,0.281605,62.4035
WOQ,1,0.281169,62.4035
WOQ,1,0.280796,62.4035
WOQ,1,0.281782,62.4035
WOQ,1,0.280637,62.4035
WOQ,2,0.276541,62.4035
WOQ,2,0.276065,62.4035
WOQ,2,0.275861,62.4035
WOQ,2,0.276271,62.4035
WOQ,2,0.281343,62.4035
WOQ,3,0.272122,59.7
WOQ,3,0.271841,59.7
WOQ,3,0.273368,59.7
WOQ,3,0.271895,59.7
WOQ,3,0.272597,59.7
WOQ,4,0.268135,59.7
WOQ,4,0.267491,59.7
WOQ,4,0.268398,59.7
WOQ,4,0.338727,59.7
WOQ,4,0.267593,59.7
WOQ,5,0.262731,45.6656
WOQ,5,0.265381,45.6656
WOQ,5,0.263523,45.6656
WOQ,5,0.262851,45.6656
WOQ,5,0.263399,45.6656
WOQ,6,0.259929,40.7782
WOQ,6,0.260152,40.7782
WOQ,6,0.261592,40.7782
WOQ,6,0.262916,40.7782
WOQ,6,0.259496,40.7782
WOQ,7,0.256396,40.7782
WOQ,7,0.255518,40.7782
WOQ,7,0.256636,40.7782
WOQ,7,0.25588,40.7782
WOQ,7,0.255819,40.7782
WOQ,8,0.251239,37.7222
WOQ,8,0.250535,37.7222
WOQ,8,0.250725,37.7222
WOQ,8,0.251412,37.7222
WOQ,8,0.251496,37.7222
WOQ,9,0.247445,37.7222
WOQ,9,0.246275,37.7222
WOQ,9,0.246908,37.7222
WOQ,9,0.247535,37.7222
WOQ,9,0.246517,37.7222
WOQ,10,0.242713,37.7222
WOQ,10,0.243995,37.7222
WOQ,10,0.24266,37.7222
WOQ,10,0.243663,37.7222
WOQ,10,0.243597,37.7222
WOQ,11,0.238097,37.7222
WOQ,11,0.237737,37.7222
WOQ,11,0.237534,37.7222
WOQ,11,0.239306,37.7222
WOQ,11,0.238412,37.7222
WOQ,12,0.232755,37.5526
WOQ,12,0.233999,37.5526
WOQ,12,0.232664,37.5526
WOQ,12,0.232985,37.5526
WOQ,12,0.236172,37.5526
WOQ,13,0.229262,37.4877
WOQ,13,0.228905,37.4877
WOQ,13,0.229114,37.4877
WOQ,13,0.228569,37.4877
WOQ,13,0.228097,37.4877
WOQ,14,0.223886,36.7983
WOQ,14,0.225836,36.7983
WOQ,14,0.224408,36.7983
WOQ,14,0.224794,36.7983
WOQ,14,0.224837,36.7983
WOQ,15,0.219956,36.107
WOQ,15,0.220358,36.107
WOQ,15,0.22022,36.107
WOQ,15,0.220023,36.107
WOQ,15,0.219862,36.107
WOQ,16,0.216509,36.0201
WOQ,16,0.215811,36.0201
WOQ,16,0.215854,36.0201
WOQ,16,0.21645,36.0201
WOQ,16,0.215844,36.0201
WOQ,17,0.211008,36.0201
WOQ,17,0.212597,36.0201
WOQ,17,0.211698,36.0201
WOQ,17,0.211966,36.0201
WOQ,17,0.212272,36.0201
WOQ,18,0.207141,35.8137
WOQ,18,0.207684,35.8137
WOQ,18,0.207911,35.8137
WOQ,18,0.207013,35.8137
WOQ,18,0.207181,35.8137
WOQ,19,0.202117,35.796
WOQ,19,0.202113,35.796
WOQ,19,0.202962,35.796
WOQ,19,0.203009,35.796
WOQ,19,0.203486,35.796
WOQ,20,0.198836,35.796
WOQ,20,0.199057,35.796
WOQ,20,0.198145,35.796
WOQ,20,0.199321,35.796
WOQ,20,0.198899,35.796
WOQ,21,0.19392,35.7604
WOQ,21,0.207086,35.7604
WOQ,21,0.193756,35.7604
WOQ,21,0.195331,35.7604
WOQ,21,0.194187,35.7604
WOQ,22,0.189225,33.4228
WOQ,22,0.190883,33.4228
WOQ,22,0.18974,33.4228
WOQ,22,0.190918,33.4228
WOQ,22,0.189703,33.4228
WOQ,23,0.185184,32.9836
WOQ,23,0.184801,32.9836
WOQ,23,0.184857,32.9836
WOQ,23,0.184656,32.9836
WOQ,23,0.18438,32.9836
WOQ,24,0.180992,32.9698
WOQ,24,0.180539,32.9698
WOQ,24,0.180372,32.9698
WOQ,24,0.180983,32.9698
WOQ,24,0.180721,32.9698
WOQ,25,0.176255,32.9607
WOQ,25,0.175753,32.9607
WOQ,25,0.177196,32.9607
WOQ,25,0.17611,32.9607
WOQ,25,0.175879,32.9607
WOQ,26,0.171783,32.9569
WOQ,26,0.175595,32.9569
WOQ,26,0.171914,32.9569
WOQ,26,0.17155,32.9569
WOQ,26,0.172185,32.9569
WOQ,27,0.16742,32.9569
WOQ,27,0.167885,32.9569
WOQ,27,0.166993,32.9569
WOQ,27,0.166473,32.9569
WOQ,27,0.166793,32.9569
WOQ,28,0.162148,32.9098
WOQ,28,0.16296,32.9098
WOQ,28,0.162876,32.9098
WOQ,28,0.162952,32.9098
WOQ,28,0.162238,32.9098
WOQ,29,0.157607,32.9002
WOQ,29,0.158146,32.9002
WOQ,29,0.158376,32.9002
WOQ,29,0.15926,32.9002
WOQ,29,0.158379,32.9002
WOQ,30,0.153572,32.8861
WOQ,30,0.153114,32.8861
WOQ,30,0.153436,32.8861
WOQ,30,0.154535,32.8861
WOQ,30,0.15396,32.8861
WOQ,31,0.149129,32.838
WOQ,31,0.149832,32.838
WOQ,31,0.149508,32.838
WOQ,31,0.148749,32.838
WOQ,31,0.148918,32.838
WOQ,32,0.145594,31.2012
WOQ,32,0.145007,31.2012
WOQ,32,0.144617,31.2012
WOQ,32,0.145796,31.2012
WOQ,32,0.145134,31.2012
WOQ,33,0.141263,31.2012
WOQ,33,0.140475,31.2012
WOQ,33,0.141531,31.2012
WOQ,33,0.141085,31.2012
WOQ,33,0.14097,31.2012
WOQ,34,0.136494,31.1983
WOQ,34,0.136492,31.1983
WOQ,34,0.136366,31.1983
WOQ,34,0.137701,31.1983
WOQ,34,0.136466,31.1983
WOQ,35,0.132702,31.1948
WOQ,35,0.131958,31.1948
WOQ,35,0.132564,31.1948
WOQ,35,0.132242,31.1948
WOQ,35,0.131708,31.1948
WOQ,36,0.129272,31.1871
WOQ,36,0.127987,31.1871
WOQ,36,0.137697,31.1871
WOQ,36,0.128201,31.1871
WOQ,36,0.128069,31.1871
WOQ,37,0.123999,31.1798
WOQ,37,0.123367,31.1798
WOQ,37,0.123274,31.1798
WOQ,37,0.123372,31.1798
WOQ,37,0.124169,31.1798
WOQ,38,0.119308,29.1684
WOQ,38,0.1189,29.1684
WOQ,38,0.120166,29.1684
WOQ,38,0.118899,29.1684
WOQ,38,0.11842,29.1684
WOQ,39,0.113783,28.8101
WOQ,39,0.115209,28.8101
WOQ,39,0.115543,28.8101
WOQ,39,0.114902,28.8101
WOQ,39,0.114814,28.8101
WOQ,40,0.110046,28.7562
WOQ,40,0.110143,28.7562
WOQ,40,0.109816,28.7562
WOQ,40,0.109871,28.7562
WOQ,40,0.109963,28.7562
WOQ,41,0.105502,28.7562
WOQ,41,0.105712,28.7562
WOQ,41,0.105073,28.7562
WOQ,41,0.105399,28.7562
WOQ,41,0.106587,28.7562
WOQ,42,0.10182,28.6396
WOQ,42,0.101421,28.6396
WOQ,42,0.101102,28.6396
WOQ,42,0.101364,28.6396
WOQ,42,0.102477,28.6396
WOQ,43,0.0966501,28.4678
WOQ,43,0.0974056,28.4678
WOQ,43,0.0975845,28.4678
WOQ,43,0.0976735,28.4678
WOQ,43,0.0974146,28.4678
WOQ,44,0.092326,28.3136
WOQ,44,0.0922269,28.3136
WOQ,44,0.094918,28.3136
WOQ,44,0.0922365,28.3136
WOQ,44,0.0921446,28.3136
WOQ,45,0.0881094,27.919
WOQ,45,0.0882296,27.919
WOQ,45,0.0984021,27.919
WOQ,45,0.0884142,27.919
WOQ,45,0.088683,27.919
WOQ,46,0.0838093,27.773
WOQ,46,0.0836033,27.773
WOQ,46,0.0838111,27.773
WOQ,46,0.0850262,27.773
WOQ,46,0.0848083,27.773
WOQ,47,0.0799693,27.7588
WOQ,47,0.0798451,27.7588
WOQ,47,0.0797479,27.7588
WOQ,47,0.0798394,27.7588
WOQ,47,0.0793051,27.7588
WOQ,48,0.0749885,27.574
WOQ,48,0.0758294,27.574
WOQ,48,0.0754372,27.574
WOQ,48,0.0753502,27.574
WOQ,48,0.0754191,27.574
WOQ,49,0.0709969,27.574
WOQ,49,0.0708583,27.574
WOQ,49,0.0717767,27.574
WOQ,49,0.0715734,27.574
WOQ,49,0.0710068,27.574
WOQ,50,0.0665305,27.574
WOQ,50,0.066464,27.574
WOQ,50,0.0670381,27.574
WOQ,50,0.0667905,27.574
WOQ,50,0.0668883,27.574
WOQ,51,0.0626975,27.3347
WOQ,51,0.0633771,27.3347
WOQ,51,0.0623145,27.3347
WOQ,51,0.0621456,27.3347
WOQ,51,0.0625152,27.3347
WOQ,52,0.0578147,27.2812
WOQ,52,0.0582536,27.2812
WOQ,52,0.0583275,27.2812
WOQ,52,0.0580804,27.2812
WOQ,52,0.0576324,27.2812
WOQ,53,0.0531056,27.2753
WOQ,53,0.0533074,27.2753
WOQ,53,0.0534059,27.2753
WOQ,53,0.0535419,27.2753
WOQ,53,0.052891,27.2753
WOQ,54,0.0486027,24.8663
WOQ,54,0.0494331,24.8663
WOQ,54,0.0487385,24.8663
WOQ,54,0.0504669,24.8663
WOQ,54,0.0488071,24.8663
WOQ,55,0.044717,24.8127
WOQ,55,0.0454476,24.8127
WOQ,55,0.0445768,24.8127
WOQ,55,0.0452118,24.8127
WOQ,55,0.0445077,24.8127
WOQ,56,0.0405569,24.1258
WOQ,56,0.0408522,24.1258
WOQ,56,0.0402173,24.1258
WOQ,56,0.0409258,24.1258
WOQ,56,0.039957,24.1258
WOQ,57,0.0358757,24.1115
WOQ,57,0.0353673,24.1115
WOQ,57,0.0362088,24.1115
WOQ,57,0.0353471,24.1115
WOQ,57,0.035193,24.1115
WOQ,58,0.0307934,24.1115
WOQ,58,0.0309638,24.1115
WOQ,58,0.0318996,24.1115
